video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
n1WpP7iowLc,17.14.11,"Eminem - Walk On Water (Audio) ft. Beyoncé","EminemVEVO",10,2017-11-10T17:00:03.000Z,"Eminem"|"Walk"|"On"|"Water"|"Aftermath/Shady/Interscope"|"Rap",17158579,787425,43420,125882,https://i.ytimg.com/vi/n1WpP7iowLc/default.jpg,False,False,False,"Eminem's new track Walk on Water ft. Beyoncé is available everywhere: http://shady.sr/WOWEminem \nPlaylist Best of Eminem: https://goo.gl/AquNpo\nSubscribe for more: https://goo.gl/DxCrDV\n\nFor more visit: \nhttp://eminem.com\nhttp://facebook.com/eminem\nhttp://twitter.com/eminem\nhttp://instagram.com/eminem\nhttp://eminem.tumblr.com\nhttp://shadyrecords.com\nhttp://facebook.com/shadyrecords\nhttp://twitter.com/shadyrecords\nhttp://instagram.com/shadyrecords\nhttp://trustshady.tumblr.com\n\nMusic video by Eminem performing Walk On Water. (C) 2017 Aftermath Records\nhttp://vevo.ly/gA7xKt"
0dBIkQ4Mz1M,17.14.11,"PLUSH - Bad Unboxing Fan Mail","iDubbbzTV",23,2017-11-13T17:00:00.000Z,"plush"|"bad unboxing"|"unboxing"|"fan mail"|"idubbbztv"|"idubbbztv2"|"things"|"best"|"packages"|"plushies"|"chontent chop",1014651,127794,1688,13030,https://i.ytimg.com/vi/0dBIkQ4Mz1M/default.jpg,False,False,False,"STill got a lot of packages. Probably will last for another year. On a side note, more 2nd channel vids soon. editing with premiere from now on, gon' be a tedious transition, but i think it's for the best. \n\n__\n\nSUBSCRIBE ► http://www.youtube.com/subscription_center?add_user=iDubbbztv\n\nMain Channel ► https://www.youtube.com/user/iDubbbzTV\nSecond Channel ► https://www.youtube.com/channel/UC-tsNNJ3yIW98MtPH6PWFAQ\nGaming Channel ► https://www.youtube.com/channel/UCVhfFXNY0z3-mbrTh1OYRXA\n\nWebsite ► http://www.idubbbz.com/\n\nInstagram ► https://instagram.com/idubbbz/\nTwitter ► https://twitter.com/Idubbbz\nFacebook ► http://www.facebook.com/IDubbbz\nTwitch ► http://www.twitch.tv/idubbbz\n_"
5qpjK5DgCt4,17.14.11,"Racist Superman | Rudy Mancuso, King Bach & Lele Pons","Rudy Mancuso",23,2017-11-12T19:05:24.000Z,"racist superman"|"rudy"|"mancuso"|"king"|"bach"|"racist"|"superman"|"love"|"rudy mancuso poo bear black white official music video"|"iphone x by pineapple"|"lelepons"|"hannahstocking"|"rudymancuso"|"inanna"|"anwar"|"sarkis"|"shots"|"shotsstudios"|"alesso"|"anitta"|"brazil"|"Getting My Driver's License | Lele Pons",3191434,146035,5339,8181,https://i.ytimg.com/vi/5qpjK5DgCt4/default.jpg,False,False,False,"WATCH MY PREVIOUS VIDEO ▶ \n\nSUBSCRIBE ► https://www.youtube.com/channel/UC5jkXpfnBhlDjqh0ir5FsIQ?sub_confirmation=1\n\nTHANKS FOR WATCHING! LIKE & SUBSCRIBE FOR MORE VIDEOS!\n-----------------------------------------------------------\nFIND ME ON: \nInstagram | http://instagram.com/rudymancuso\nTwitter | http://twitter.com/rudymancuso\nFacebook | http://facebook.com/rudymancuso\n\nCAST: \nRudy Mancuso | http://youtube.com/c/rudymancuso\nLele Pons | http://youtube.com/c/lelepons\nKing Bach | https://youtube.com/user/BachelorsPadTv\n\nVideo Effects: \nCaleb Natale | https://instagram.com/calebnatale\n\nPA:\nPaulina Gregory\n\n\nShots Studios Channels:\nAlesso | https://youtube.com/c/alesso\nAnitta | http://youtube.com/c/anitta\nAnwar Jibawi | http://youtube.com/c/anwar\nAwkward Puppets | http://youtube.com/c/awkwardpuppets\nHannah Stocking | http://youtube.com/c/hannahstocking\nInanna Sarkis | http://youtube.com/c/inanna\nLele Pons | http://youtube.com/c/lelepons\nMaejor | http://youtube.com/c/maejor\nMike Tyson | http://youtube.com/c/miketyson \nRudy Mancuso | http://youtube.com/c/rudymancuso\nShots Studios | http://youtube.com/c/shots\n\n#Rudy\n#RudyMancuso"
d380meD0W0M,17.14.11,"I Dare You: GOING BALD!?","nigahiga",24,2017-11-12T18:01:41.000Z,"ryan"|"higa"|"higatv"|"nigahiga"|"i dare you"|"idy"|"rhpc"|"dares"|"no truth"|"comments"|"comedy"|"funny"|"stupid"|"fail",2095828,132239,1989,17518,https://i.ytimg.com/vi/d380meD0W0M/default.jpg,False,False,False,"I know it's been a while since we did this show, but we're back with what might be the best episode yet!\nLeave your dares in the comment section! \n\nOrder my book how to write good \nhttp://higatv.com/ryan-higas-how-to-write-good-pre-order-links/\n\nJust Launched New Official Store\nhttps://www.gianthugs.com/collections/ryan\n\nHigaTV Channel\nhttp://www.youtube.com/higatv\n\nTwitter\nhttp://www.twitter.com/therealryanhiga\n\nFacebook\nhttp://www.facebook.com/higatv\n\nWebsite\nhttp://www.higatv.com\n\nInstagram\nhttp://www.instagram.com/notryanhiga\n\nSend us mail or whatever you want here!\nPO Box 232355\nLas Vegas, NV 89105"
2Vv-BfVoq4g,17.14.11,"Ed Sheeran - Perfect (Official Music Video)","Ed Sheeran",10,2017-11-09T11:04:14.000Z,"edsheeran"|"ed sheeran"|"acoustic"|"live"|"cover"|"official"|"remix"|"official video"|"lyrics"|"session",33523622,1634130,21082,85067,https://i.ytimg.com/vi/2Vv-BfVoq4g/default.jpg,False,False,False,"🎧: https://ad.gt/yt-perfect\n💰: https://atlanti.cr/yt-album\nSubscribe to Ed's channel: http://bit.ly/SubscribeToEdSheeran\n\nFollow Ed on...\nFacebook: http://www.facebook.com/EdSheeranMusic\nTwitter: http://twitter.com/edsheeran\nInstagram: http://instagram.com/teddysphotos\nOfficial Website: http://edsheeran.com\n\nDirector: Jason Koenig\nProducer: Honna Kimmerer\nStarring: Ed Sheeran & Zoey Deutch \nDirector of Photography: Johnny Valencia\nProduction Company: Anonymous Content\nExec Producer: Nina Soriano\nProduction Manager: Doug Hoff\nCommissioner: Dan Curwin\nProduction Designer: John Lavin\nLead Casting: Amy Hubbard \n \nWritten by: Jason Koenig, Ed Sheeran, Andrew Kolvet, Jenny Koenig, Murray Cummings\n\nEdited by: Jason Koenig & Johnny Valencia\nVFX: Ian Hubert\n\nCast: Bo Valencia, Dennis Ranalta, Arthur Pauli\n \nSki Cinematography: Corey Koniniec\nSpecialty Camera op: Ryan Haug\n1st AC: Ryan Brown\n \n1st Assistant Director: Ole Zapatka\nArt Director: Klaus Hartl\nSnow fx: Lucien Stephenson\n\nGaffer: Thomas Berz\nStylist: Claudia Lajda\nHair & Makeup: Christel Thoresen\nAustrian Casting: Ursula Kiplinger\n \nAdditional VFX: Zoic\n\nSpecial Thanks to: The Hintertux Glacier, Austria;\nThe Tenne, and Hotel Neuhintertux"
0yIWz1XEeyc,17.14.11,"Jake Paul Says Alissa Violet CHEATED with LOGAN PAUL! #DramaAlert Team 10 vs  Martinez Twins!","DramaAlert",25,2017-11-13T07:37:51.000Z,"#DramaAlert"|"Drama"|"Alert"|"DramaAlert"|"keemstar"|"youtube news"|"jake paul"|"team 10"|"alissa violet"|"cheated"|"logan paul"|"logan paul alissa violet"|"jake paul alissa violet"|"Martinez Twins"|"left team 10"|"faze banks"|"erika costell",1309699,103755,4613,12143,https://i.ytimg.com/vi/0yIWz1XEeyc/default.jpg,False,False,False,"► Follow for News! - https://twitter.com/KEEMSTAR\n\n► Also follow #DramaAlert on:\n⋆ Instagram: https://instagram.com/DramaAlert\n⋆ Twitter: https://twitter.com/DramaAlert\n⋆ Facebook: https://facebook.com/DramaAlert\n\n► Follow for livestreams! - https://twitch.tv/KEEMSTAR\n\n► KEEM Merch\nhttp://keem.shirtz.cool\n\n► USE CODE (KEEM)\nhttps://gfuel.com/pages/keemstar\n\nDollar in the Woods! (OUT NOW)\n► iTunes\nhttps://itunes.apple.com/us/album/dollar-in-the-woods-single/id1295414119https://itunes.apple.com/us/album/dollar-in-the-woods-single/id1295414119\n\n► Spotify \nhttps://open.spotify.com/track/3uUHoKWqPbJ5qoREGbguC9?si=v4CgSBBR\n\n► YouTube (Music Video)\nhttps://youtu.be/n38Qxi7TVWo\n\nAdpocalypse! (My New Game)\n► Apple (iOS)\nhttps://itunes.apple.com/us/app/the-adpocalypse/id1263621591\n\n► Android\nhttps://play.google.com/store/apps/details?id=com.projectorgames.howtogetahead"
_uM5kFfkhB8,17.14.11,"Vanoss Superhero School - New Students","VanossGaming",23,2017-11-12T23:52:13.000Z,"Funny Moments"|"Montage video games"|"gaming"|"Vanoss"|"VanossGaming"|"Gameplay"|"Secret"|"Puncake"|"Parody"|"Comedy"|"Remix"|"Epic"|"Trolling"|"Xbox One"|"MultiplayerPS4"|"Funtage"|"superhero school"|"vanoss superhero school"|"superhero"|"scool"|"school"|"super hero"|"vanoss gaming school"|"doc"|"documentary",2987945,187464,9850,26629,https://i.ytimg.com/vi/_uM5kFfkhB8/default.jpg,False,False,False,"Vanoss Merch Shop: https://vanoss.3blackdot.com/\n\n\n\nCreated by: Evan Fong https://twitter.com/evanfong\nDirected by: Jack Wagner https://www.instagram.com/versace_tamagotchi\nWritten by: Jack Wagner, Eric Pumphrey, Evan Fong, Kent Osborne & Andy Haynes\n\nPRODUCERS\nExecutive Producer: Evan Fong\nExecutive Producer: Gareth Upton\n\n3BlackDot\nExecutive Producer: Angelo Pullen\nExecutive Producer: Shelby Alan Brown\nhttps://3blackdot.com/\n\nAnthem Films\nExecutive Producer: DJay Brawner\nExecutive Producer: Blake Greenbaum\nGeneral Manager: Nicole Swedlow\nHead of Production: Amy Silliman \nCreative Producer: Gabriel Younes\nhttp://www.anthemfilms.com/\n\nCAST\nDean - Stu James https://twitter.com/stujameslive\nAustin - Austin Zajur https://www.instagram.com/austinzajur/\nTanner - Nick Colletti https://twitter.com/nick_colletti\nKurt - Evan Breen https://twitter.com/evan_breen\nGina - Isabel Sobrepera https://www.instagram.com/isobrep\nFellow student - Matthew Haddad\nRobber - William Bouton\nPolice Officer - Kevin Whittington\nGuy 1 - Justin McClain \nReceptionist - Abby Victor\nVanoss - Evan Fong / Chris Ryan\n\nPRODUCTION\nProducer: Christopher Pluchar\nProduction Manager: Michael Burke\n1st AD: Sam Shapson\n2nd AD: David Moore\nPA: Alexandria Kelly\nPA: David Sperling\nPA: Lars Nordgaard\nPA: Cory Riley\nIntern/PA: Anna Niebert\n\nCamera\nDir of Photography: Wojciech Kielar\n1st AC: Chuck Schwarzbeck\n2nd AC/DIT: Tamara Santos\n2nd Camera Op: Andrew Harris \n\nG&E\nGaffer: Kyle Fallon\nBB Electric: Mike Sullivan\nSwing: Jesse Lee\nKey Grip: Zach Kienitz\nBB Grip: Sebastian Nuta\n\nArt\nProduction Designer: Justin McClain\nArt Director: Jacob Salano\nSet Decorator: Chris Barundia\nSet Dresser: Joseph Altamuro\nSet Dresser: Seth Mankoski\nShopper/Set Dresser: Caiti Shannon\nArt Driver: Matt Baltzer\nGraphic Designer: Joshua Barish\n\nHair & Make-Up\nHair & Makeup: Linda Marfisi\nHair & Makeup Asst: Lian Uritsky\n\nWardrobe\nCostume Designer: Patrick Glendening\nCostume Assistant: Kim House\n\nSound\nSound: Jake Unterreiner\n\nPOST \nEditor: Alex Jones\nColor: Ryan McNeal\nPost Audio: Aaron Bartscht \nVFX: Tanner Merrill\nOutro Titles: Grabster\n\nCasting Director\nMichael “Stonewall” Beaudry\n\n\nVanoss Twitter - http://twitter.com/#!/VanossGaming\nVanoss Facebook - http://www.facebook.com/VanossGaming\nVanoss Instagram - http://instagram.com/vanossinstagram\n\nPlease Ignore or flag spam, negative, or hateful comments.  We're here to have a good time.  Thanks everyone, and enjoy :]"
2kyS6SvSYSE,17.14.11,"WE WANT TO TALK ABOUT OUR MARRIAGE","CaseyNeistat",22,2017-11-13T17:13:01.000Z,"SHANtell martin",748374,57534,2967,15959,https://i.ytimg.com/vi/2kyS6SvSYSE/default.jpg,False,False,False,"SHANTELL'S CHANNEL - https://www.youtube.com/shantellmartin\nCANDICE - https://www.lovebilly.com\n\nfilmed this video in 4k on this -- http://amzn.to/2sTDnRZ\nwith this lens -- http://amzn.to/2rUJOmD\nbig drone - http://tinyurl.com/h4ft3oy\nOTHER GEAR ---  http://amzn.to/2o3GLX5\nSony CAMERA http://amzn.to/2nOBmnv\nOLD CAMERA; http://amzn.to/2o2cQBT\nMAIN LENS; http://amzn.to/2od5gBJ\nBIG SONY CAMERA; http://amzn.to/2nrdJRO\nBIG Canon CAMERA; http://tinyurl.com/jn4q4vz\nBENDY TRIPOD THING; http://tinyurl.com/gw3ylz2\nYOU NEED THIS FOR THE BENDY TRIPOD; http://tinyurl.com/j8mzzua\nWIDE LENS; http://tinyurl.com/jkfcm8t\nMORE EXPENSIVE WIDE LENS; http://tinyurl.com/zrdgtou\nSMALL CAMERA; http://tinyurl.com/hrrzhor\nMICROPHONE; http://tinyurl.com/zefm4jy\nOTHER MICROPHONE; http://tinyurl.com/jxgpj86\nOLD DRONE (cheaper but still great);http://tinyurl.com/zcfmnmd\n\nfollow me; on http://instagram.com/caseyneistat\non https://www.facebook.com/cneistat\non https://twitter.com/CaseyNeistat\n\namazing intro song by https://soundcloud.com/discoteeth\n\nad disclosure.  THIS IS NOT AN AD.  not selling or promoting anything.  but samsung did produce the Shantell Video as a 'GALAXY PROJECT' which is an initiative that enables creators like Shantell and me to make projects we might otherwise not have the opportunity to make.  hope that's clear.  if not ask in the comments and i'll answer any specifics."
JzCsM1vtn78,17.14.11,"THE LOGANG MADE HISTORY. LOL. AGAIN.","Logan Paul Vlogs",24,2017-11-12T20:19:24.000Z,"logan paul vlog"|"logan paul"|"logan"|"paul"|"olympics"|"logan paul youtube"|"vlog"|"daily"|"comedy"|"hollywood"|"parrot"|"maverick"|"bird"|"maverick clothes"|"logan paul dubai"|"dubai"|"logan paul uae"|"uae"|"logan paul meet and greet"|"logan paul meet up"|"logan paul dubai mall"|"the dubai mall"|"logan paul arab"|"arabic"|"arab"|"logan paul age"|"the maverick"|"maverick merch",4477587,292837,4123,36391,https://i.ytimg.com/vi/JzCsM1vtn78/default.jpg,False,False,False,"Join the movement. Be a Maverick ► https://ShopLoganPaul.com/\nNO ONE CAN STOP US. \nSUBSCRIBE FOR DAILY VLOGS! ► http://bit.ly/Subscribe2Logan\n\nMusic:\nExistence Problem - Marius\nhttps://fanlink.to/MariusExistenceProblem2017\n\nAnimal - The Siege\nhttps://soundcloud.com/theseigemusic/animal\n\nCtrl+Alt+Del - The Siege\nhttps://soundcloud.com/theseigemusic/ctrlaltdel\n\nWatch Yesterday’s Vlog  ► https://youtu.be/TIqqEJg4q7c\n\nADD ME ON:\nINSTAGRAM: https://www.instagram.com/LoganPaul/\nTWITTER: https://twitter.com/LoganPaul\n\nI’m a 22 year old kid living in Los Angeles. I make comedy vids, travel a lot, I have a pretty colorful parrot named Maverick and a savage dog named Kong. This is my life.\nhttps://www.youtube.com/LoganPaulVlogs"
43sm-QwLcx4,17.14.11,"Finally Sheldon is winning an argument about the existence of God","Sheikh Musa",22,2017-11-10T14:10:46.000Z,"God"|"Sheldon Cooper"|"Young Sheldon",505161,4135,976,1484,https://i.ytimg.com/vi/43sm-QwLcx4/default.jpg,False,False,False,"Sheldon is roasting pastor of the church\nyoung Sheldon season 01 episode 3"
